Task Name;Predecessor Task;Task Status;PIC ECU;ResponsibleRoleName;Process Link in Plib;Artifact Name;Link to Artifacts;LinkedMilestone;Description;Timely relation to milestone [working days];PLib-Version;Effort[ph];Task ID;additionalArtifacts;Study Project;SWaaP;Option: Product licensed to customer?;Option: External Suppliers in the (Sub)project?;Option: RB internal SW-Supplier which does not follow PS-EC guidelines (except BSW supply);Option: Endeavour is a Innovation Topic;Option: OBD responsibility is at RB;Option: Config Management strategy is different to generic one;Option: SW Sharing done in Project;Option: Project is not a successor project;Option: Security relevant Requirements exist;Option: ASIL D;Option: ASIL C;Option: ASIL B;Option: ASIL A;Option: QM;Option: EDC17 Project;Option: SWaaP is a customer project
Scoping: Assessment of BES-PE basic requirements;Scoping_001;Valid;A,B,C;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Product+Engineering+%28PE%29&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;PS-EC specific PE checklist;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Product+Engineering+%28PE%29&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;QGP0,SW-QGP0,SW-QGC0;Use the BES PE checklist;0;5.6;19;Scoping_003;;;;;;;;;;;;;;;;;;;
Scoping: Collect change requests for the definition of market segments and product lines ;NA;Valid;A,B,C,D;PfM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Collect+change+requests+for+the+definition+of+market+segments+and+product+lines&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Definition of market segments and product lines;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CDefinition+of+market+segments+and+product+lines&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;QGP0,SW-QGP0;;0;5.6;3;Scoping_001;Change_Requests___Document_for_Request_collection_and_decision_documentation;;;;;;;;;;;;;;;;;;
Sample Delivery: Create Indi-Spec (ECU Individualization Specification) for C-Sample;PVER_Delivery_012;Valid;A,B,C,D;PEC-C;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=ECU+Individualization+Specification&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;ECU Individualization Specification;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CECU+Individualization+Specification&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;C-sample for customer,C-sample for development;;-42;5.6;11;Sample_Delivery_002;;;;;;;;;;;;;;;;;;;
Sample Delivery: Create Indi-Spec (ECU Individualization Specification) for B-Sample;PVER_Delivery_012;Valid;A,B,C,D;PEC-C;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=ECU+Individualization+Specification&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;ECU Individualization Specification;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CECU+Individualization+Specification&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;B-sample for customer,B-sample for development;;-42;5.6;8;Sample_Delivery_001;;;;;;;;;;;;;;;;;;;
Safety: Check of external measures and other technologies ;Safety_012;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Check+of+external+measures+and+other+technologies&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Documentation of check of external measures and other technologies;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Documentation+of+check+of+external+measures+and+other+technologies&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW-QGC4;"For Initial projects to be done 6-9 months before QGC4
For follow up projects 2-3 months before QGC4";-270;5.8;19;Safety_056;Documentation of check of external measures and other technologies;;;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: perform the Impact analysis confirmation review;NA;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Impact analysis confirmation review;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CImpact+analysis+confirmation+review&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;QGP2,SW-QGP2,SW-QGF;;0;5.6;10;Safety_055;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Review the ECU-MST test cases;NA;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CECU+System+Test+%28CbD%29%7CECU+Monitoring+%26+Safety+Test%7CPerform+VRT+tests&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;VRT test Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CVRT+Test+report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series,Series - Major;;0;5.6;4;Safety_054;;;;;;;;;;;;;;;;;;;
Safety:Perform Deductive Analysis for ASIL C, ASIL D projects;NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Implementation%7CComplete+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;FTA File;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CFTA+File&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;QGP2,SW-QGP2,SW-QGC4;;0;5.6;152;Safety_053;;;;;;;;;;;;;Y;Y;;;;;
Safety: Perform the Safety Case Confirmation review with the required level of independence and release the Safety Case;NA;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Implementation%7CComplete+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Confirmation Reviews- functional safety;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CConfirmation+Reviews-+functional+safety&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGF;;0;5.6;34;Safety_038;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Perform the FuSi Item definition (if not provided from Customer);Safety_015;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Item Definition;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CQuotation+Process%7CItem+definition&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0;;0;5.6;187;Safety_037;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Plan for Functional safety assessment for ASIL C, ASIL D projects ;Safety_015;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Functional Safety Assessment Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CFunctional+Safety+Assessment+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;9;Safety_034;;;;;;;;;;;;;Y;Y;;;;;
Safety: Complete DIA and Ensure the DIA is agreed and approved/signed by customer.;PMP_002,Safety_014,Safety_015;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Development Interface Agreement (DIA);https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Development+Interface+Agreement+%28DIA%29&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW-QGC0;the existing platform relevance assessment checklist shall be taken;0;5.6;87;Safety_033;;A,B,C,D,E;A,B,C;;;;;;;;;;Y;Y;Y;Y;Y;;Y
Safety: Verify, if the identified project components meet the assumptions made in the TSC. If not revise the TSC;NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Technical Safety Concept;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CTechnical+Safety+Concept&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series, Series - Major,Final - Major;;-49;5.6;16;Safety_031;;;A,B,C,D,E;;;;;;;;;;;;;;;;
Safety: Update Project Safety Plan and ensure review if needed;NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Safety Plan;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CSafety+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series,Series - Major,SW-QGB;;-49;5.6;7;Safety_030;;;;;;;;;;;;;;;;;;;
Safety: Review the Technical Safety Requirements as per review checklist. Store the review checklist in the Project safety case;NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CTSR%2FTSC+Review&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;TSR/TSC Review;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CTechnical+Safety+Concept&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series, Series - Major,Final - Major;;-28;5.6;8;Safety_028;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;;;
Safety: Review the safety case and initiate workon for approval;NA;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CECU+System+Test+%28CbD%29%7CECU+Monitoring+%26+Safety+Test%7CDocument+ECU-MST+results&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Safety Case Confirmation Review;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CSafety+Case+Confirmation+Review&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series, Series - Major;;0;5.6;14;Safety_027;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Plan for availability of Test Environment for ECU-MST;NA;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Plan+ECU-MST+activities&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;;;Series,Series - Major;check for test vehicle and other suitable test environment and for availability of Calibration;-49;5.6;9;Safety_024;;;;;;;;;;;;;;;;;;;
Safety: Plan for tool classification and qualification according to ISO 26262 requirements;Project_Setup_013;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Tool classification and qualification;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CTool+classification+and+qualification&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;17;Safety_021;Tool_Confirmation_Review_Report;;;;;;;;;;;;;;;;;;
Safety: Plan Deductive Analysis (FTA) for ASIL C, ASIL D projects;Safety_007;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;FTA File;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CFTA+File&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;17;Safety_019;;;;;;;;;;;;;Y;Y;;;;;
Safety: Perform review of Functional safety concept;Safety_004;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;FSC Review;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CQuotation+Process%7CFSC+Review&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;87;Safety_016;;;;;;;;;;;;;;;;;;;
Safety: Perform Impact Analysis (IA);NA;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Impact Analysis;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CImpact+Analysis&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;32;Safety_015;;;A,B,C,D,E;;;;;;;;;;;;;;;;Y
Safety: Perform Hazard Analysis and Risk assessment H&R incl. review (if not provided from Customer);NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Hazard Analysis and Risk Assessment;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Hazard+Analysis+and+Risk+Assessment&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW-QGC0,QGP0,SW-QGP0;;0;5.6;30;Safety_014;H_R_Review;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Perform a Functional Safety Assessment according to process;NA;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CProduct+%26+Process+Quality+Assurance%7CInternal+and+external+Audits%2FAssessments%7CFunctional+Safety+Assessment&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Functional Safety Assessment Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CFunctional+Safety+Assessment+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGF;;0;5.6;105;Safety_013;;;;;;;;;;;;;;;;;;;
Safety: Perform project specific initial analysis (PSIA);Stakeholder_Requirements_001;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CECU+System+Test+%28CbD%29%7CECU+Monitoring+%26+Safety+Test%7CPerform+project+specific+initial+analysis+%28PSIA%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Matrix and documentation of necessary VRT test goals with project specific evaluation / test pass criteria;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CMatrix+and+documentation+of+necessary+VRT+test+goals+with+project+specific+evaluation+%2F+test+pass+criteria&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC4;"For Initial projects to be done 6-9 months before QGC4
For follow up projects 2-3 months before QGC4";-270;5.6;2;Safety_012;;;;;;;;;;;;;Y;Y;Y;Y;;;
Safety: Generate the emface report and share with package responsible P-Res BC_Mo for evaluation;PVER_Creation_009;Valid;A,B,C,D;SPjM SW;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CECU+System+Test+%28CbD%29%7CECU+Monitoring+%26+Safety+Test%7CCheck+the+ECU+software+%28PVER%29+regarding+the+correct+safety+software&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Evaluated emFace-report including possibly derived measures  ;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Evaluated+emFace-report+including+possibly+derived+measures&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Major,Series,Series - Major,Final - Major;;-7;5.6;17;Safety_011;;;;;;;;;;;;;;;;;;;
Safety: Finalize the project specific VRT test goals with P-Res (BC_Mo) and FA Monitoring;Safety_012;Valid;A,B,C,D;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CECU+System+Test+%28CbD%29%7CECU+Monitoring+%26+Safety+Test%7CPerform+project+specific+initial+analysis+%28PSIA%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Matrix and documentation of necessary VRT test goals with project specific evaluation / test pass criteria;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CMatrix+and+documentation+of+necessary+VRT+test+goals+with+project+specific+evaluation+%2F+test+pass+criteria&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series, Series - Major;;-28;5.6;6;Safety_010;;;;;;;;;;;;;;;;;;;
Safety: Evaluate emFace report;Safety_011;Valid;A,B,C,D,E;SPjM SW;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Check+the+ECU+software+%28PVER%29+regarding+the+correct+safety+software&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Evaluated emFace-report including possibly derived measures  ;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Evaluated+emFace-report+including+possibly+derived+measures&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Major,Series, Series - Major,Final - Major;If necessary perform appropriate measures. Ensure the evaluated emFace-report is part of Safety Case and has to be stored accordingly;0;5.6;7;Safety_009;;;;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Perform ECU-MST;Safety_014;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=ECU+Monitoring+%26+Safety+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Test Report ECU-MST (Data);https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CTest+Report+ECU-MST+%28Data%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series,Series - Major;;21;5.6;17;Safety_008;;;;;;;;;;;;;Y;Y;Y;Y;;;
Safety: create safety plan, coordinate and track the progress of the safety activities for SW-QGC0;Safety_015;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Safety Plan;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CSafety+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;71;Safety_007;;;A,B,C,D,E;;;;;;;;;;;;;;;;
Safety: Create safety case;Safety_015;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Safety Case;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CSafety+Case&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;47;Safety_006;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: Create Functional Safety Baseline incl. review;Safety_038;Valid;A,B,C,D,E;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CProject+specific+CM+Strategy&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Baseline of ISO 26262;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CBaseline+of+ISO+26262&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGF;;0;5.6;24;Safety_005;;;A,B,C,D,E;;;;;;;;;;Y;Y;Y;Y;Y;;
Safety: develop Functional safety concept for the project based on the safety goals;Safety_014;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Functional Safety Concept;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CQuotation+Process%7CFunctional+Safety+Concept&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;20;Safety_004;;;A,B,C,D,E;;;;;;;;;;;;;;;;Y
Safety: For Projects with ASIL C, ASIL D Perform Quantitative analysis (FMEDA) incl. review;NA;Valid;A,B,C,D;PSM;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CPreventive+Quality%2C+Reliability+%26+Safety+Methods%7CQuantitative+Analysis+%28QuantAs%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;FMEDA File;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CFMEDA+File&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC4;"FMEDA is mandatory for projects with safety requirements rated ASIL C, ASIL D, ASIL X(C), ASIL X(D)
*FMEDA can also be useful for safety requirements rated ASIL B, for design of new systems or architecture or similar use cases.";0;5.6;508;Safety_001;;;;;;;;;;;;;Y;Y;;;;;
RM: Enter the functional and non-functional requirements planned for the next project phase into the Tool (e.g. Doors or DNG) and define the acceptance criteria;Stakeholder_Requirements_001;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=SysArchSpec&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SysArchSpec;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSysArchSpec&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,SW-QGB,QGP0,SW-QGP0;DOORS classic or DOORS NG, ALM or other database (list of requirements);0;5.6;17;RM_005;;;A,B,C,D,E;;;;;;;;;;;;;;;;
RM: Set up Risk list and start Risk Management activities;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCarry+out+risk+management&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Risk List;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CRisk+list&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;;0;5.6;49;RM_001;;;A,B,C,D,E;;;;;;;;;;;;;;;;Y
Release: Perform Taglist (DOORs) or Global Basline (GC)  inkl. Review;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CProject+specific+CM+Strategy&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Taglist;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Software+Work+Products%7CTaglist&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series,Series - Major,Final - Major,Final; ;0;5.8;5;Release_011;;;A,B,C,D,E;;;;;;;;;;;;;;;;
